Date,Closing Price
2020-03-02,113.110001
2020-03-03,117.470001
2020-03-04,116.800003
2020-03-05,125
2020-03-06,114.32
2020-03-09,113.75
2020-03-10,108.489998
2020-03-11,110.300003
2020-03-12,109.470001
2020-03-13,107.470001
2020-03-16,107.860001
2020-03-17,111.099998
2020-03-18,118.709999
2020-03-19,123.769997
2020-03-20,130.550003
2020-03-23,159.559998
2020-03-24,135.179993
2020-03-25,138.110001
2020-03-26,141.149994
2020-03-27,151.699997
2020-03-30,150.880005
2020-03-31,146.119995
2020-04-01,137
2020-04-02,121.93
2020-04-03,128.199997
2020-04-06,122.940002
2020-04-07,113.75
2020-04-08,117.809998
2020-04-09,124.510002
2020-04-13,135.919998
2020-04-14,141.889999
2020-04-15,151.559998
2020-04-16,150.259995
2020-04-17,150.059998
2020-04-20,148.990005
2020-04-21,143.270004
2020-04-22,150.25
2020-04-23,169.089996
2020-04-24,158.800003
2020-04-27,164.600006
2020-04-28,156.720001
2020-04-29,146.479996
2020-04-30,135.169998
2020-05-01,138.559998
2020-05-04,143.440002
2020-05-05,144.820007
2020-05-06,149.589996
2020-05-07,157.800003
2020-05-08,155.399994
2020-05-11,166.479996
2020-05-12,161.039993
2020-05-13,167.139999
2020-05-14,167.910004
2020-05-15,174.830002
2020-05-18,164.690002
2020-05-19,173.679993
2020-05-20,175.479996
2020-05-21,172.029999
2020-05-22,171.059998
2020-05-26,164
2020-05-27,161.970001
2020-05-28,163.550003
2020-05-29,179.479996
2020-06-01,204.149994
2020-06-02,208.080002
2020-06-03,223.869995
2020-06-04,210.350006
2020-06-05,207.600006
2020-06-08,209.830002
2020-06-09,205.429993
2020-06-10,221.020004
2020-06-11,222.070007
2020-06-12,219.520004
2020-06-15,239.020004
2020-06-16,242.559998
2020-06-17,236.759995
2020-06-18,241.570007
2020-06-19,243.479996
2020-06-22,251.270004
2020-06-23,252.809998
2020-06-24,255.899994
2020-06-25,259.51001
2020-06-26,256.799988
2020-06-29,248.559998
2020-06-30,253.539993
2020-07-01,259.130005
2020-07-02,261.73999
2020-07-06,261
2020-07-07,262.100006
2020-07-08,266.320007
2020-07-09,269.519989
2020-07-10,275.869995
2020-07-13,260.299988
2020-07-14,260.01001
2020-07-15,256.220001
2020-07-16,248.539993
2020-07-17,246.539993
2020-07-20,268.579987
2020-07-21,260.440002
2020-07-22,261.179993
2020-07-23,251.5
2020-07-24,246.559998
2020-07-27,252.330002
2020-07-28,252.179993
2020-07-29,252.389999
2020-07-30,250
2020-07-31,253.910004
2020-08-03,268
2020-08-04,267.339996
2020-08-05,272.899994
2020-08-06,268.25
2020-08-07,258.730011
2020-08-10,250
2020-08-11,231.039993
2020-08-12,236.720001
2020-08-13,247.25
2020-08-14,244.910004
2020-08-17,266.149994
2020-08-18,276.799988
2020-08-19,273.51001
2020-08-20,290.690002
2020-08-21,289.679993
2020-08-24,282.279999
2020-08-25,290.440002
2020-08-26,295.269989
2020-08-27,294.679993
2020-08-28,299.269989
2020-08-31,325.100006
2020-09-01,457.690002
2020-09-02,423.559998
2020-09-03,381.320007
2020-09-04,369.890015
2020-09-08,350.880005
2020-09-09,389.649994
2020-09-10,384.480011
2020-09-11,383
2020-09-14,403.51001
2020-09-15,410.940002
2020-09-16,408.170013
2020-09-17,413.125
2020-09-18,438.730011
2020-09-21,468.470001
2020-09-22,492.600006
2020-09-23,500.529999
2020-09-24,464.980011
2020-09-25,496.5
2020-09-28,487.660004
2020-09-29,465.5
2020-09-30,470.109985
2020-10-01,482.98999
2020-10-02,482.230011
2020-10-05,485.369995
2020-10-06,478.25
2020-10-07,480.609985
2020-10-08,478.549988
2020-10-09,492.410004
2020-10-12,491.540009
2020-10-13,518.789978
2020-10-14,509.25
2020-10-15,536.400024
2020-10-16,559
2020-10-19,568.340027
2020-10-20,537.02002
2020-10-21,513.190002
2020-10-22,520.539978
2020-10-23,511.519989
2020-10-26,517.789978
2020-10-27,538.98999
2020-10-28,516.01001
